Start1	End1	Start2	End2	Orientation	ID
19682	20237	346208	346763	1	99.8201438848921
134427	135193	257452	258143	1	88.135593220339
41464	41999	321432	321967	-1	99.8134328358209
36362	36824	143947	144409	-1	99.5680345572354
6118	6569	84089	84540	-1	97.787610619469
269859	270304	332183	332627	1	96.6367713004484
206095	206444	246766	247115	1	100
30938	31272	271061	271395	-1	99.4029850746269
138910	139438	258129	258618	1	84.4990548204159
31725	32074	332173	332522	-1	95.7142857142857
31725	32064	269859	270199	-1	96.4809384164223
30442	30722	254842	255122	-1	99.644128113879
332644	333115	358870	359308	-1	81.3141683778234
48899	49185	110303	110596	-1	95.2702702702703
234150	234429	270573	270852	-1	96.44128113879
23253	23503	331581	331831	-1	100
270775	271023	331877	332125	1	100
66857	67062	269570	269775	1	100
182729	182934	207329	207534	1	99.5145631067961
288315	288518	306969	307174	1	97.0873786407767
165942	166134	307926	308118	1	97.9274611398964
68660	68844	360865	361049	-1	98.9189189189189
80177	80360	278458	278640	1	98.9130434782609
49240	49426	247489	247676	-1	97.8723404255319
200752	201080	347282	347626	1	80.4532577903683
206482	206724	307719	307964	-1	87.5502008032128
247484	247706	265688	265896	1	90.1345291479821
263897	264071	265507	265681	1	95.4285714285714
50976	51150	265507	265681	-1	95.4285714285714
11394	11535	87937	88078	1	100
79223	79370	233642	233789	1	97.2972972972973
49244	49426	265693	265867	-1	90.7608695652174
1956	2100	36473	36619	-1	97.2789115646258
1956	2100	144152	144298	1	97.2789115646258
144152	144298	196153	196297	1	97.2789115646258
36473	36619	196153	196297	-1	97.2789115646258
44602	44765	270764	270918	-1	91.5151515151515
113664	113791	276492	276619	-1	99.21875
44602	44757	331874	332020	-1	92.3566878980892
65547	65673	73611	73737	1	99.2125984251969
31324	31531	287117	287318	1	80.8411214953271
50837	50954	362083	362199	1	97.4576271186441
264093	264210	362083	362199	-1	97.4576271186441
165832	165939	207225	207332	-1	97.2222222222222
51142	51258	239143	239268	-1	90.4761904761905
239143	239268	263789	263905	1	90.4761904761905
128290	128402	286701	286808	-1	94.6902654867257
148615	148720	277624	277728	1	97.1698113207547
8915	9013	172944	173043	-1	99
171686	171800	274990	275104	1	93.0434782608696
128558	128662	310701	310805	1	95.2380952380952
23851	23952	222608	222705	-1	95.0980392156863
284251	284369	358491	358607	1	89.9159663865546
234368	234466	359028	359129	1	92.156862745098
234370	234477	286989	287096	1	87.037037037037
128290	128403	358721	358822	-1	85.0877192982456
84563	84691	254716	254842	1	82.3076923076923
156734	156836	183791	183893	1	82.8571428571429
31544	31642	270198	270299	-1	82.3529411764706
97167	97265	156818	156914	-1	83.3333333333333
